Timestamp(ms),Preprocess(ms),Infer(ms),Postprocess(ms),Total(ms)
1764904411196,0,37,2,41
1764904411241,0,40,3,44
1764904411284,0,38,3,42
1764904411326,0,37,3,42
1764904411388,0,57,2,61
1764904411427,8,27,3,38
1764904411470,0,33,3,37
1764904411520,0,38,8,47
1764904411570,0,43,5,50
1764904411611,0,31,2,34
1764904411655,0,38,2,42
1764904411698,0,39,2,43
1764904411742,0,39,3,44
1764904411789,0,38,7,46
1764904411828,1,33,2,38
1764904411871,3,36,2,42
1764904411916,0,40,3,44
1764904411957,1,37,2,41
1764904412001,0,37,2,40
1764904412044,0,39,2,43
1764904412098,0,40,11,53
1764904412142,0,33,7,41
Timestamp(ms),Preprocess(ms),Infer(ms),Postprocess(ms),Total(ms)
1764904455954,0,48,6,55
1764904456010,0,36,17,54
1764904456046,0,28,6,35
1764904456086,0,36,3,40
1764904456136,0,39,10,50
1764904456176,0,35,3,39
1764904456217,0,35,4,40
1764904456263,0,37,6,44
1764904456303,5,31,3,40
1764904456345,0,38,2,41
1764904456388,1,39,2,43
1764904456432,0,39,3,43
1764904456475,0,39,3,43
1764904456518,0,39,2,42
1764904456561,0,39,2,42
1764904456605,0,40,2,43
1764904456648,0,39,2,43
1764904456692,0,39,3,43
1764904456735,0,39,2,42
1764904456778,0,39,3,43
1764904456821,0,39,2,42
1764904456867,0,41,2,44
1764904456908,0,36,2,40
1764904456952,0,39,3,43
1764904456995,0,38,3,43
1764904457038,0,38,2,42
1764904457081,0,39,2,42
1764904457125,0,40,2,43
1764904457170,0,39,3,44
1764904457219,1,39,8,48
1764904457259,0,31,6,38
1764904457302,2,35,4,42
1764904457342,0,33,3,37
1764904457402,0,44,13,58
1764904457439,1,33,3,37
1764904457484,0,38,4,43
1764904457526,0,36,3,41
1764904457568,1,36,2,40
1764904457612,0,38,3,43
1764904457655,0,39,2,42
1764904457698,0,39,3,42
1764904457741,0,39,2,42
1764904457784,0,39,2,42
1764904457827,0,40,2,43
1764904457871,0,39,2,43
1764904457915,0,39,3,44
1764904457958,0,38,2,42
1764904458000,1,38,2,42
1764904458044,1,39,2,43
1764904458087,0,39,2,42
1764904458130,0,39,2,42
1764904458173,0,40,2,43
1764904458220,0,41,4,46
1764904458260,2,34,2,39
1764904458304,0,39,2,42
1764904458346,0,39,2,42
1764904458390,0,39,3,44
1764904458433,0,39,2,42
1764904458476,0,39,2,43
1764904458520,0,39,3,43
1764904458564,0,39,2,43
1764904458606,0,38,2,42
1764904458649,0,37,2,40
1764904458692,0,40,2,43
1764904458735,0,40,2,43
1764904458779,0,39,2,43
1764904458822,0,40,2,43
1764904458866,0,40,2,43
1764904458909,0,39,2,42
1764904458952,0,40,2,43
1764904458996,0,39,2,42
1764904459038,0,39,2,42
1764904459082,0,39,3,43
1764904459125,0,39,2,42
1764904459168,0,37,2,40
1764904459212,3,37,2,43
1764904459255,0,39,2,43
1764904459300,0,40,4,45
1764904459343,0,37,3,42
1764904459385,0,38,2,42
1764904459428,1,39,2,42
1764904459472,0,40,2,43
1764904459514,0,39,2,42
1764904459559,0,40,3,44
1764904459603,0,38,4,43
1764904459646,0,36,4,41
1764904459688,0,37,2,41
1764904459732,0,39,3,43
1764904459775,0,39,2,42
1764904459817,0,39,2,42
1764904459863,0,41,3,45
1764904459904,0,36,2,40
1764904459948,0,38,2,41
1764904459990,0,39,2,42
1764904460035,0,41,2,44
1764904460077,0,38,2,42
1764904460120,0,39,2,42
1764904460164,0,40,2,43
1764904460207,0,39,2,42
1764904460250,0,39,2,42
1764904460298,0,41,4,47
1764904460337,0,34,2,38
1764904460380,0,39,2,42
1764904460423,0,40,2,43
1764904460467,0,39,2,43
1764904460511,0,39,3,44
1764904460555,0,38,3,43
1764904460597,0,36,2,40
1764904460642,3,37,5,45
1764904460683,3,34,2,39
1764904460728,0,38,3,43
1764904460771,0,37,4,42
1764904460812,0,38,2,41
1764904460856,0,40,2,43
1764904460899,0,39,2,42
1764904460942,0,40,2,43
1764904460985,0,39,2,42
1764904461029,0,40,2,43
1764904461072,0,40,2,43
1764904461116,0,39,2,43
1764904461159,0,39,2,43
1764904461203,0,39,3,43
1764904461246,0,38,2,42
1764904461289,0,39,2,42
1764904461333,0,40,3,44
1764904461376,1,38,2,42
1764904461419,0,38,3,43
1764904461462,0,39,2,42
1764904461505,0,38,2,41
1764904461548,0,39,2,43
1764904461591,0,39,2,42
1764904461635,0,40,2,43
1764904461678,0,39,2,43
1764904461722,0,40,2,43
1764904461764,1,36,2,40
1764904461808,0,40,2,43
1764904461851,0,39,2,43
1764904461894,0,39,2,43
1764904461937,0,37,2,40
1764904461982,0,41,2,44
1764904462025,2,37,2,42
1764904462067,0,38,2,42
1764904462111,1,39,2,43
1764904462154,0,40,2,43
1764904462197,0,39,2,42
1764904462240,0,39,2,43
1764904462283,0,40,2,43
1764904462327,0,40,2,43
1764904462370,0,38,2,41
1764904462414,0,37,3,41
1764904462457,0,39,2,42
1764904462500,0,39,2,42
1764904462544,0,40,2,43
1764904462587,0,38,2,42
1764904462631,0,39,3,43
1764904462674,0,39,2,43
1764904462717,0,38,2,42
1764904462760,1,38,2,42
1764904462803,0,39,2,43
1764904462847,0,39,3,43
1764904462890,0,39,2,42
1764904462935,0,40,4,44
1764904462977,0,37,3,41
1764904463020,0,39,3,43
1764904463062,0,39,2,42
1764904463106,0,40,2,43
1764904463149,0,39,2,42
1764904463193,0,40,2,43
1764904463235,0,39,2,42
1764904463279,0,40,2,43
1764904463322,0,39,2,42
1764904463365,0,40,2,43
1764904463409,0,39,2,43
1764904463454,0,40,4,45
1764904463495,1,37,2,40
1764904463539,0,39,2,43
1764904463601,0,44,16,61
1764904463654,0,45,3,49
1764904463697,0,33,8,42
1764904463743,9,30,3,43
1764904463791,0,33,6,40
1764904463839,5,34,7,47
1764904463877,0,33,3,37
1764904463920,0,38,2,42
1764904463963,0,39,2,42
1764904464006,0,39,2,43
1764904464049,0,39,2,42
1764904464092,0,39,2,43
1764904464136,0,39,2,42
1764904464179,0,39,2,42
1764904464222,0,40,2,43
1764904464265,0,39,2,42
1764904464308,1,39,2,42
1764904464352,0,40,2,43
1764904464395,0,39,2,42
1764904464438,0,40,2,43
1764904464482,0,39,3,43
1764904464526,0,38,3,42
1764904464571,0,38,5,45
1764904464620,0,38,10,49
1764904464661,0,31,3,35
1764904464707,0,37,6,45
1764904464748,3,32,4,40
1764904464792,0,38,4,43
1764904464833,0,37,3,41
1764904464875,0,36,2,39
1764904464920,0,39,3,43
1764904464962,0,38,2,42
1764904465005,0,38,2,41
1764904465052,0,41,3,46
1764904465092,1,36,2,40
1764904465136,0,39,3,43
1764904465181,0,39,4,44
1764904465223,0,37,3,41
1764904465265,0,38,2,41
1764904465309,0,40,3,44
1764904465354,0,38,4,43
1764904465395,1,37,2,40
1764904465438,0,39,2,42
1764904465482,0,40,2,43
1764904465525,1,38,2,42
1764904465568,0,39,2,42
1764904465615,0,40,6,47
1764904465656,0,35,3,40
1764904465698,0,38,2,42
1764904465742,0,39,2,43
1764904465784,0,39,2,42
1764904465828,0,39,2,43
1764904465871,0,39,2,43
1764904465914,0,39,2,43
1764904465958,0,39,2,43
1764904466001,0,39,2,42
1764904466046,0,40,3,45
1764904466090,1,36,4,43
1764904466130,0,37,2,40
1764904466174,0,40,2,43
1764904466217,0,39,2,43
1764904466260,0,39,2,42
1764904466304,0,40,2,43
1764904466346,0,39,2,42
1764904466390,0,40,2,43
